"","alpha_range0","cp0_0.5","cp0_0","ln0_0.5","ln0_0","alpha_range0.5","cp0.5_0.5","cp0.5_0","ln0.5_0.5","ln0.5_0"
"1",-0.2,0.812,0.792,0.971790571418854,0.86027404241952,0.3,0.783,0.817,1.04320500720775,0.912061891861126
"2",-0.18,0.839,0.826,0.967206551866984,0.8565329659032,0.32,0.828,0.855,1.03924439886387,0.908387163790938
"3",-0.16,0.873,0.853,0.962620976542584,0.85289738250349,0.34,0.861,0.88,1.03522684726368,0.904801859345114
"4",-0.14,0.892,0.879,0.958042159740341,0.84936787030484,0.36,0.886,0.901,1.03116199457879,0.901308167784093
"5",-0.12,0.914,0.895,0.953478065704417,0.845944806683871,0.38,0.909,0.92,1.02705926679215,0.897907987730783
"6",-0.1,0.931,0.915,0.948936295656596,0.842628384055122,0.4,0.918,0.937,1.02292784328496,0.894602941742824
"7",-0.08,0.942,0.934,0.944424077782308,0.839418625111268,0.42,0.938,0.945,1.01877662953171,0.891394390958808
"8",-0.06,0.951,0.947,0.939948260039291,0.836315397488751,0.44,0.956,0.956,1.01461423291449,0.888283449713312
"9",-0.04,0.952,0.957,0.93551530564759,0.833318427829917,0.46,0.956,0.959,1.01044894164329,0.885271000022606
"10",-0.02,0.95,0.953,0.931131291090543,0.830427315202516,0.48,0.957,0.958,1.00628870673852,0.882357705865024
"11",0,0.948,0.956,0.926801906458554,0.827641543853557,0.5,0.96,0.95,1.00214112700351,0.879544027177603
"12",0.02,0.936,0.956,0.922532457944468,0.824960495288217,0.52,0.962,0.943,0.998013436898204,0.876830233510484
"13",0.04,0.926,0.956,0.918327872298547,0.822383459659036,0.54,0.955,0.937,0.993912497204793,0.874216417277095
"14",0.06,0.911,0.945,0.914192703053565,0.819909646472766,0.56,0.945,0.93,0.989844788358833,0.871702506573493
"15",0.08,0.902,0.925,0.910131138322514,0.817538194615832,0.58,0.922,0.913,0.985816406302154,0.869288277509464
"16",0.1,0.883,0.906,0.906147009972907,0.815268181705816,0.6,0.903,0.895,0.981833060714812,0.866973366044324
"17",0.12,0.865,0.873,0.902243803998582,0.81309863278524,0.62,0.889,0.873,0.977900075457272,0.864757279289251
"18",0.14,0.839,0.848,0.898424671893105,0.811028528378822,0.64,0.872,0.848,0.974022391065266,0.86263940627528
"19",0.16,0.807,0.815,0.894692442864898,0.80905681192523,0.66,0.844,0.812,0.970204569119667,0.860619028174115
"20",0.18,0.773,0.78,0.891049636717923,0.80718239661643,0.68,0.809,0.775,0.966450798318315,0.858695327961955
"21",0.2,0.723,0.74,0.887498477244796,0.805404171658522,0.7,0.772,0.735,0.962764902081204,0.856867399543688
